index,frequency,s21_magnitude,se_il_db
0,1.0,6.691888236169693e-05,83.48902641940538
1,1.1,6.691891217447712e-05,83.48902254978813
2,1.2,6.69189347047808e-05,83.48901962541754
3,1.3,6.69189520923831e-05,83.48901736855593
4,1.4,6.691896574134417e-05,83.48901559695977
5,1.5,6.691897660393349e-05,83.48901418702698
6,1.6,6.691898534448309e-05,83.489013052529
7,1.7,6.691899243787924e-05,83.48901213182687
8,1.8,6.691899823087891e-05,83.48901137991248
9,1.9,6.69190029814614e-05,83.48901076330083
10,2.0,6.691900688477013e-05,83.48901025666287
11,2.1,6.691901009062206e-05,83.48900984055275
12,2.2,6.691901271557855e-05,83.48900949984116
13,2.3,6.691901485142604e-05,83.4890092226145
14,2.4,6.691901657123633e-05,83.48900899938823
15,2.5,6.691901793376575e-05,83.48900882253595
16,2.6,6.691901898669325e-05,83.4890086858691
17,2.7,6.691901976903527e-05,83.48900858432343
18,2.8,6.691902031296789e-05,83.48900851372258
19,2.9,6.691902064521687e-05,83.48900847059765
20,3.0,6.691902078812952e-05,83.48900845204803
21,3.1,6.691902076050775e-05,83.48900845563324
22,3.2,6.691902057826246e-05,83.48900847928815
23,3.3,6.691902025493076e-05,83.48900852125564
24,3.4,6.691901980208898e-05,83.48900858003316
25,3.5,6.691901922968353e-05,83.48900865432967
26,3.6,6.691901854629894e-05,83.48900874303096
27,3.7,6.691901775937539e-05,83.4890088451713
28,3.8,6.691901687538744e-05,83.48900895991031
29,3.9,6.691901589999013e-05,83.48900908651399
30,4.0,6.691901483814069e-05,83.4890092243389
31,4.1,6.691901369419929e-05,83.4890093728191
32,4.2,6.691901247201318e-05,83.48900953145522
33,4.3,6.691901117498757e-05,83.48900969980532
34,4.4,6.691900980614533e-05,83.48900987747699
35,4.5,6.691900836817699e-05,83.48901006412103
36,4.6,6.691900686348389e-05,83.48901025942575
37,4.7,6.69190052942149e-05,83.48901046311224
38,4.8,6.691900366229711e-05,83.48901067493037
39,4.9,6.691900196946305e-05,83.48901089465525
40,5.0,6.6919000217274e-05,83.48901112208422
41,5.1,6.691899840713934e-05,83.4890113570344
42,5.2,6.69189965403345e-05,83.48901159934017
43,5.3,6.691899461801567e-05,83.48901184885153
44,5.4,6.691899264123288e-05,83.48901210543217
45,5.5,6.691899061094169e-05,83.48901236895802
46,5.6,6.69189885280132e-05,83.48901263931607
47,5.7,6.691898639324248e-05,83.4890129164031
48,5.8,6.691898420735701e-05,83.48901320012466
49,5.9,6.69189819710229e-05,83.48901349039434
50,6.0,6.691897968485127e-05,83.48901378713279
51,6.1,6.691897734940365e-05,83.48901409026712
52,6.2,6.691897496519668e-05,83.48901439973031
53,6.3,6.691897253270598e-05,83.48901471546057
54,6.4,6.691897005237083e-05,83.48901503740093
55,6.5,6.691896752459663e-05,83.48901536549874
56,6.6,6.691896494975839e-05,83.48901569970535
57,6.7,6.691896232820329e-05,83.48901603997568
58,6.8,6.691895966025335e-05,83.48901638626796
59,6.9,6.691895694620722e-05,83.4890167385434
60,7.0,6.691895418634255e-05,83.48901709676596
61,7.1,6.691895138091745e-05,83.48901746090215
62,7.2,6.691894853017222e-05,83.48901783092077
63,7.3,6.691894563433094e-05,83.48901820679276
64,7.4,6.691894269360257e-05,83.489018588491
65,7.5,6.691893970818225e-05,83.48901897599013
66,7.6,6.691893667825232e-05,83.4890193692665
67,7.7,6.691893360398347e-05,83.48901976829795
68,7.8,6.691893048553541e-05,83.48902017306375
69,7.9,6.691892732305786e-05,83.48902058354449
70,8.0,6.691892411669126e-05,83.48902099972192
71,8.1,6.691892086656734e-05,83.48902142157895
72,8.2,6.691891757281004e-05,83.48902184909949
73,8.3,6.691891423553566e-05,83.48902228226845
74,8.4,6.691891085485373e-05,83.4890227210716
75,8.5,6.691890743086744e-05,83.48902316549557
76,8.6,6.691890396367378e-05,83.48902361552776
77,8.7,6.691890045336455e-05,83.48902407115624
78,8.8,6.691889690002609e-05,83.48902453236985
79,8.9,6.691889330374e-05,83.48902499915795
80,9.0,6.691888966458339e-05,83.48902547151054
81,9.1,6.691888598262918e-05,83.48902594941819
82,9.2,6.691888225794625e-05,83.48902643287192
83,9.3,6.69188784905999e-05,83.48902692186329
84,9.4,6.691887468065203e-05,83.48902741638425
85,9.5,6.691887082816103e-05,83.48902791642722
86,9.6,6.691886693318259e-05,83.48902842198497
87,9.7,6.691886299576933e-05,83.48902893305068
88,9.8,6.691885901597134e-05,83.48902944961785
89,9.9,6.691885499383604e-05,83.48902997168031
90,10.0,6.691885092940865e-05,83.4890304992322
